,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,52,8,2,1,10,3,8,1,13,2
11,0,0,0,0,0,0,0,0,0,0,3,67,0,3,15,4,2,0,6,0
12,0,0,0,0,0,0,0,0,0,0,4,0,68,6,2,3,1,4,10,2
13,0,0,0,0,0,0,0,0,0,0,7,2,13,52,10,3,8,3,2,0
14,0,0,0,0,0,0,0,0,0,0,2,2,0,0,83,3,0,0,9,1
15,0,0,0,0,0,0,0,0,0,0,3,2,2,0,13,57,0,3,14,6
16,0,0,0,0,0,0,0,0,0,0,15,8,0,3,10,1,58,0,5,0
17,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,15,0,66,3,2
18,0,0,0,0,0,0,0,0,0,0,1,2,3,1,25,4,1,0,63,0
19,0,0,0,0,0,0,0,0,0,0,5,5,2,3,25,13,1,2,5,39
