,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,93,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0
1,0,88,0,1,2,1,1,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0
2,2,0,67,0,0,2,3,0,3,0,0,15,0,0,2,1,0,0,0,0,0,1,3,1,0
3,0,0,1,56,15,1,4,2,0,0,0,0,0,1,0,2,2,0,2,5,0,7,0,2,0
4,0,3,0,11,66,1,1,1,2,0,0,1,1,1,1,3,0,0,1,3,0,3,0,0,1
5,0,0,1,1,0,77,1,0,1,0,2,1,0,3,1,0,1,1,0,1,5,0,1,3,0
6,0,0,2,2,1,0,75,5,1,1,2,0,0,0,4,0,0,0,2,0,0,1,0,0,4
7,1,2,1,1,0,0,2,70,0,0,2,0,0,0,5,0,0,0,3,0,2,0,0,0,11
8,0,0,1,0,0,0,1,1,86,0,0,1,1,4,0,0,2,1,0,1,0,0,1,0,0
9,1,0,0,0,0,1,0,1,0,83,1,2,1,1,1,0,4,0,0,1,0,1,2,0,0
10,6,3,7,0,1,2,2,1,0,0,58,0,0,3,1,0,3,1,3,0,1,1,6,1,0
11,0,0,17,3,4,2,1,0,2,0,0,61,1,2,1,0,1,1,0,0,0,4,0,0,0
12,0,1,0,0,0,1,1,0,3,0,0,0,83,1,0,0,1,3,5,0,0,0,0,1,0
13,0,1,0,0,0,0,1,0,1,1,0,0,4,85,0,0,4,1,0,0,0,1,0,1,0
14,0,5,1,2,5,1,6,3,1,0,2,0,0,0,64,0,0,0,8,1,0,0,1,0,0
15,0,1,0,4,5,0,1,0,1,0,1,5,1,0,2,67,0,1,0,10,0,0,0,0,1
16,1,0,2,0,0,1,0,0,1,5,7,1,1,2,0,0,71,0,0,0,2,0,6,0,0
17,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,3,0,89,0,1,0,0,0,1,0
18,0,3,0,1,6,2,2,3,0,0,0,1,0,0,5,2,0,0,71,1,0,0,1,1,1
19,0,0,1,10,4,0,0,1,2,0,0,3,0,1,3,9,0,0,1,61,2,2,0,0,0
20,0,0,1,0,0,5,1,1,1,1,0,1,0,1,1,0,2,0,0,0,83,0,1,0,1
21,0,0,1,7,2,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,84,0,0,0
22,1,2,2,0,3,2,0,1,0,2,10,2,3,4,2,0,3,0,0,1,0,0,61,1,0
23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
24,0,0,1,0,0,0,3,4,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,86
