,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,1,0,16,0,1,0,0,0,0,0
1,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,2,10,8,1,2,7,0,0,4,4,13,2,0,2,1,4,2,2
2,0,0,7,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,2,0,7,8,1,3,2,2,0,0,2,6,0,2,0,0,1,26,0
3,0,0,0,6,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,3,5,1,3,4,1,0,1,2,3,4,4,3,2,2,0,1,2,5,2,4,3,0,0
4,0,0,0,3,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,8,3,2,5,1,0,0,4,3,5,2,7,1,5,0,1,5,1,0,4,5,2,0
5,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,0,4,0,3,28,1,6,12,1,1,2,2,0,1,7,0,1,2,4,1
6,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,3,5,10,5,0,11,13,0,1,0,4,10,3,1,1,2,1,2,0,0,3,2,1
7,0,0,0,1,0,0,0,21,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,5,3,10,1,0,1,12,2,1,5,2,0,3,3,1,0,0,0,0,3,0,1,0
8,0,1,0,0,0,0,0,0,12,1,0,1,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,1,0,6,0,0,9,7,5,5,3,7,1,1,1,0,1,0,9,4,0,0
9,0,0,0,1,0,0,0,1,0,37,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8,2,2,0,0,1,0,4,6,1,3,6,1,2,3,0,0,0,6,0,0,0,3,0
10,5,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,5,5,1,1,2,0,10,9,1,10,8,3,1,1,0,2,0,0,0,2,1,1,1
11,0,0,1,0,0,1,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,1,3,2,0,0,5,7,2,2,2,4,3,3,0,3,0,2,0,0,4,20,1
12,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,11,1,1,1,1,11,0,0,2,10,0,11,0,4,5,0,0,1,2,6,2,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,27,1,3,3,6,8,5,2,6,16,2,0,0,1,0,2,2,0,0
14,0,2,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,5,1,9,3,1,3,12,6,3,2,3,7,2,2,0,4,2,1,0,1,1,2,1
15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,8,3,2,4,2,0,2,6,4,2,2,5,6,4,1,1,1,2,0,4,6,1,3
16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,1,0,0,0,1,3,1,3,4,1,8,8,0,0,4,0,3,0,9,1,0,2,2,0
17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,7,1,0,1,1,6,0,0,2,16,1,1,1,6,6,0,0,0,1,1,8,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,2,9,10,2,1,8,5,1,1,4,5,2,4,2,0,3,1,1,6,1,1,1
19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,2,3,2,1,1,8,4,4,5,2,12,6,0,3,0,2,0,3,2,0,0
20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,15,1,10,3,0,1,0,0,1,0,3,1,0,1,2,1
21,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,9,0,3,0,1,1,0,0,1,1,3,10,5,1,1,1,0,1,2,0,0,1,5,6,0
22,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,3,1,0,1,0,6,8,1,13,7,1,1,1,0,0,0,7,0,2,0,3,0
23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,2,1,14,0,2,0,0,6,1,1,0,2,0,0,0,2,0,1,1,0,0,2,1,1,0,2,4,3,2,1,1
24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,7,0,0,2,0,2,2,4,0,0,0,0,2,0,1,0,2,0,0,1,1
25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,9,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,7,19,2,11,13,1,1,4,1,1,2,2,1,4,0,1,1
26,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,6,4,4,0,0,1,5,11,1,6,2,0,3,2,0,6,5,2,1,1,8,4,4
27,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11,0,5,3,2,5,1,0,0,7,5,1,1,0,2,5,3,0,5,0,3,5,9,0,4
28,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,20,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,10,0,7,6,3,1,1,0,1,2,3,3,2,3,4,2
29,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,3,1,5,5,0,0,1,4,4,7,1,5,1,3,3,0,4,0,2,1,4,4,1
30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,4,0,1,5,2,0,0,0,2,0,0,0,2,2,1,0,0,3,0,0,4,0,28,3,1,0,1
31,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,3,2,2,0,0,1,2,1,4,2,9,2,0,0,0,4,1,12,4,2,0
32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,3,0,8,6,3,5,5,1,0,5,6,2,5,3,2,3,6,7,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,1,1,1,4,1,1,0,9,2,2,1,4,0,5,2,0,1,0,1,0,43,4,0,0
34,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,2,0,5,1,2,6,1,0,1,5,0,0,5,13,4,1,0,3,1,2,0,2,9,4,1
35,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,3,5,0,3,7,5,0,0,1,2,0,4,0,0,8,38,0
