,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,95,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,88,0,1,1,1,0,1,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0
2,3,2,65,1,1,3,1,1,1,0,2,14,0,0,1,0,1,0,1,0,0,2,0,1,0
3,0,0,2,51,15,1,2,1,0,1,1,0,1,1,2,4,1,0,1,3,0,9,1,3,0
4,0,0,2,6,71,1,1,1,3,0,1,2,1,0,0,2,0,1,1,0,0,3,2,2,0
5,1,2,1,1,2,71,0,0,1,1,3,1,0,1,0,0,0,1,0,1,7,0,1,4,1
6,0,0,0,1,2,0,71,3,0,1,2,0,0,1,7,1,0,0,2,1,0,1,1,0,6
7,1,1,1,1,3,0,3,61,3,0,1,0,0,0,7,0,0,0,4,0,3,0,1,1,9
8,0,1,1,0,0,0,2,1,82,0,0,1,3,4,0,1,2,0,1,0,0,0,1,0,0
9,0,0,0,0,0,1,0,1,0,83,0,2,2,2,2,0,2,1,2,0,0,0,2,0,0
10,4,3,4,0,2,2,2,1,0,0,65,1,0,1,3,0,4,0,1,1,2,0,3,1,0
11,0,0,18,0,3,1,0,0,0,2,1,61,1,1,2,0,1,1,0,1,1,4,0,2,0
12,0,1,0,0,0,0,0,0,2,0,1,0,81,4,0,1,0,4,5,0,0,0,1,0,0
13,0,1,0,0,0,0,0,0,3,0,1,0,6,80,0,0,3,3,0,0,0,2,0,1,0
14,0,5,1,0,7,0,5,5,2,1,1,0,0,0,60,0,0,0,11,1,0,0,0,0,1
15,0,2,1,1,4,1,0,0,0,1,1,2,1,1,2,69,0,4,0,8,0,1,0,0,1
16,1,0,3,0,2,2,1,0,2,5,6,0,0,3,0,0,70,0,0,0,2,0,3,0,0
17,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,90,0,2,0,0,0,1,0
18,0,4,1,2,6,0,3,3,0,0,1,1,0,0,2,0,0,0,72,2,0,0,1,1,1
19,0,0,0,7,5,0,1,2,2,1,0,1,1,1,0,9,1,0,0,66,0,2,0,0,1
20,1,0,2,0,0,5,0,0,2,0,0,0,0,1,1,0,1,0,0,0,84,1,0,0,2
21,0,0,0,7,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,87,0,0,0
22,2,1,2,0,3,0,1,0,2,1,10,2,3,2,4,0,1,0,0,0,0,0,65,0,1
23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0
24,0,0,1,1,0,1,1,7,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,85
